	zeit	Soll Temp	Ist Temp	Heizung	temp erreicht	Pumpe
147067	147	86	64	1	0	0
147832	148	86	64	1	0	0
148598	149	86	64	1	0	0
149363	149	86	64	1	0	0
150129	150	86	64	1	0	0
150894	151	86	64	1	0	0
151660	152	86	64	1	0	0
152425	152	86	64	1	0	0
153191	153	86	64	1	0	0
153956	154	86	64	1	0	0
154722	155	86	64	1	0	0
155487	155	86	64	1	0	0
156253	156	86	64	1	0	0
157018	157	86	64	1	0	0
157784	158	86	64	1	0	0
158548	159	86	64	1	0	0
159314	159	86	65	1	0	0
160079	160	86	65	1	0	0
160845	161	86	64	1	0	0
161610	162	86	65	1	0	0
162376	162	86	64	1	0	0
163141	163	86	65	1	0	0
163907	164	86	65	1	0	0
164672	165	86	65	1	0	0
165438	165	86	65	1	0	0
166203	166	86	65	1	0	0
166969	167	86	64	1	0	0
167734	168	86	65	1	0	0
168499	168	86	65	1	0	0
169265	169	86	65	1	0	1
170030	170	86	65	1	0	1
170796	171	86	65	1	0	1
171560	172	86	65	1	0	1
172326	172	86	65	1	0	1
173091	173	86	65	1	0	1
173857	174	86	65	1	0	1
174622	175	86	65	1	0	1
175388	175	86	65	1	0	1
176153	176	86	65	1	0	1
176919	177	86	65	1	0	1
177684	178	86	65	1	0	1
178450	178	86	65	1	0	1
179215	179	86	65	1	0	1
179981	180	86	65	1	0	1
180746	181	86	65	1	0	1
181512	182	86	66	1	0	1
182277	182	86	66	1	0	1
183043	183	86	66	1	0	1
183808	184	86	66	1	0	1
184572	185	86	66	1	0	0
185338	185	86	66	1	0	0
186103	186	86	66	1	0	0
186869	187	86	66	1	0	0
187634	188	86	66	1	0	0
188400	188	86	66	1	0	0
189165	189	86	66	1	0	0
189931	190	86	66	1	0	0
190696	191	86	66	1	0	0
191462	191	86	66	1	0	0
192227	192	86	66	1	0	0
192993	193	86	66	1	0	0
193758	194	86	66	1	0	0
194524	195	86	66	1	0	0
195289	195	86	66	1	0	0
196055	196	86	67	1	0	0
196819	197	86	67	1	0	0
197585	198	86	67	1	0	0
198350	198	86	67	1	0	0
199116	199	86	67	1	0	0
199881	200	86	67	1	0	0
200647	201	86	67	1	0	0
201412	201	86	67	1	0	0
202177	202	86	67	1	0	0
202943	203	86	67	1	0	0
203708	204	86	67	1	0	0
204474	204	86	67	1	0	0
205239	205	86	67	1	0	0
206005	206	86	67	1	0	0
206770	207	86	67	1	0	0
207536	208	86	67	1	0	0
208301	208	86	67	1	0	0
209067	209	86	67	1	0	0
209831	210	86	67	1	0	0
210597	211	86	67	1	0	0
211362	211	86	67	1	0	0
212128	212	86	67	1	0	0
212893	213	86	67	1	0	0
213659	214	86	67	1	0	0
214424	214	86	67	1	0	0
215190	215	86	67	1	0	0
215955	216	86	67	1	0	0
216721	217	86	67	1	0	0
217486	217	86	67	1	0	0
218252	218	86	67	1	0	0
219017	219	86	67	1	0	0
219783	220	86	67	1	0	0
220548	221	86	67	1	0	0
221314	221	86	67	1	0	0
222078	222	86	67	1	0	0
222844	223	86	67	1	0	0
223609	224	86	67	1	0	0
224374	224	86	67	1	0	0
225140	225	86	67	1	0	0
225905	226	86	67	1	0	0
226671	227	86	67	1	0	0
227436	227	86	67	1	0	0
228202	228	86	67	1	0	0
228967	229	86	67	1	0	0
229733	230	86	67	1	0	0
230498	230	86	67	1	0	0
231264	231	86	67	1	0	0
232029	232	86	67	1	0	0
232795	233	86	67	1	0	0
233560	234	86	67	1	0	0
234326	234	86	67	1	0	0
235090	235	86	67	1	0	0
235856	236	86	67	1	0	0
236621	237	86	67	1	0	0
237387	237	86	67	1	0	0
238152	238	86	67	1	0	0
238918	239	86	67	1	0	0
239683	240	86	67	1	0	0
240449	240	86	67	1	0	0
241214	241	86	67	1	0	0
241980	242	86	67	1	0	0
242745	243	86	67	1	0	0
243511	244	86	67	1	0	0
244276	244	86	67	1	0	0
245042	245	86	67	1	0	0
245807	246	86	67	1	0	0
246573	247	86	67	1	0	0
247337	247	86	67	1	0	0
248102	248	86	67	1	0	0
248868	249	86	67	1	0	0
249633	250	86	67	1	0	0
250399	250	86	67	1	0	0
251164	251	86	67	1	0	0
251930	252	86	67	1	0	0
252695	253	86	67	1	0	0
253461	253	86	67	1	0	0
254226	254	86	67	1	0	0
254992	255	86	67	1	0	0
255757	256	86	67	1	0	0
256523	257	86	67	1	0	0
257288	257	86	67	1	0	0
258054	258	86	67	1	0	0
258819	259	86	67	1	0	0
259585	260	86	67	1	0	0
260349	260	86	67	1	0	0
261115	261	86	67	1	0	1
261880	262	86	67	1	0	1
262646	263	86	67	1	0	1
263411	263	86	67	1	0	1
264177	264	86	67	1	0	1
264942	265	86	67	1	0	1
265708	266	86	67	1	0	1
266473	266	86	67	1	0	1
267239	267	86	67	1	0	1
268004	268	86	68	1	0	1
268769	269	86	68	1	0	1
269535	270	86	68	1	0	1
270300	270	86	68	1	0	1
271066	271	86	68	1	0	1
271831	272	86	68	1	0	1
272596	273	86	68	1	0	1
273361	273	86	68	1	0	1
274127	274	86	68	1	0	1
274892	275	86	69	1	0	1
275658	276	86	69	1	0	1
276423	276	86	69	1	0	0
277189	277	86	69	1	0	0
277954	278	86	69	1	0	0
278720	279	86	69	1	0	0
279485	279	86	69	1	0	0
280251	280	86	69	1	0	0
281016	281	86	69	1	0	0
281782	282	86	69	1	0	0
282547	283	86	69	1	0	0
283313	283	86	69	1	0	0
284078	284	86	69	1	0	0
284844	285	86	69	1	0	0
285608	286	86	69	1	0	0
286373	286	86	69	1	0	0
287139	287	86	69	1	0	0
287904	288	86	69	1	0	0
288670	289	86	69	1	0	0
289435	289	86	69	1	0	0
290201	290	86	69	1	0	0
290966	291	86	69	1	0	0
291732	292	86	69	1	0	0
292497	292	86	69	1	0	0
293263	293	86	69	1	0	0
294028	294	86	69	1	0	0
294794	295	86	69	1	0	0
295559	296	86	69	1	0	0
296325	296	86	69	1	0	0
297090	297	86	69	1	0	0
297856	298	86	69	1	0	0
298620	299	86	69	1	0	0
299386	299	86	69	1	0	0
300151	300	86	69	1	0	0
300917	301	86	69	1	0	0
301682	302	86	69	1	0	0
302448	302	86	69	1	0	0
303213	303	86	69	1	0	0
303979	304	86	69	1	0	0
304744	305	86	69	1	0	0
305510	306	86	69	1	0	0
306275	306	86	69	1	0	0
307041	307	86	69	1	0	0
307806	308	86	69	1	0	0
308571	309	86	69	1	0	0
309337	309	86	69	1	0	0
310102	310	86	69	1	0	0
310867	311	86	69	1	0	0
311632	312	86	69	1	0	0
312398	312	86	69	1	0	0
313163	313	86	69	1	0	0
313929	314	86	69	1	0	0
314694	315	86	69	1	0	0
315460	315	86	69	1	0	0
316225	316	86	69	1	0	0
316991	317	86	69	1	0	0
317756	318	86	69	1	0	0
318522	319	86	69	1	0	0
319287	319	86	69	1	0	0
320053	320	86	69	1	0	0
320818	321	86	69	1	0	0
321584	322	86	69	1	0	0
322349	322	86	69	1	0	0
323115	323	86	69	1	0	0
323879	324	86	69	1	0	0
324645	325	86	69	1	0	0
325410	325	86	69	1	0	0
326176	326	86	69	1	0	0
326941	327	86	69	1	0	0
327707	328	86	69	1	0	0
328472	328	86	69	1	0	0
329238	329	86	69	1	0	0
330003	330	86	69	1	0	0
330769	331	86	69	1	0	0
331534	332	86	69	1	0	0
332299	332	86	69	1	0	0
333065	333	86	69	1	0	0
333830	334	86	69	1	0	0
334596	335	86	69	1	0	0
335361	335	86	69	1	0	0
336126	336	86	69	1	0	0
336891	337	86	69	1	0	0
337657	338	86	69	1	0	0
338422	338	86	69	1	0	0
339188	339	86	69	1	0	0
339953	340	86	69	1	0	0
340719	341	86	69	1	0	0
341484	341	86	69	1	0	0
342250	342	86	69	1	0	0
343015	343	86	69	1	0	0
343781	344	86	69	1	0	0
344546	345	86	69	1	0	0
345312	345	86	69	1	0	0
346077	346	86	69	1	0	0
346843	347	86	69	1	0	0
347608	348	86	69	1	0	0
348374	348	86	69	1	0	0
349138	349	86	69	1	0	0
349904	350	86	69	1	0	0
350669	351	86	69	1	0	0
351435	351	86	69	1	0	0
352200	352	86	69	1	0	0
352966	353	86	69	1	0	1
353731	354	86	69	1	0	1
354496	354	86	69	1	0	1
355262	355	86	69	1	0	1
356027	356	86	69	1	0	1
356793	357	86	69	1	0	1
357558	358	86	69	1	0	1
358324	358	86	69	1	0	1
359089	359	86	69	1	0	1
359855	360	86	70	1	0	1
360620	361	86	70	1	0	1
361385	361	86	70	1	0	1
362150	362	86	70	1	0	1
362916	363	86	70	1	0	1
363681	364	86	70	1	0	1
364447	364	86	70	1	0	1
365212	365	86	70	1	0	1
365978	366	86	70	1	0	1
366743	367	86	71	1	0	1
367509	368	86	71	1	0	1
368274	368	86	71	1	0	0
369040	369	86	71	1	0	0
369805	370	86	71	1	0	0
370571	371	86	71	1	0	0
371336	371	86	71	1	0	0
372101	372	86	71	1	0	0
372867	373	86	71	1	0	0
373632	374	86	71	1	0	0
374397	374	86	71	1	0	0
375162	375	86	71	1	0	0
375928	376	86	71	1	0	0
376693	377	86	71	1	0	0
377459	377	86	71	1	0	0
378224	378	86	71	1	0	0
378990	379	86	71	1	0	0
379755	380	86	71	1	0	0
380521	381	86	71	1	0	0
381286	381	86	71	1	0	0
382052	382	86	71	1	0	0
382817	383	86	71	1	0	0
383583	384	86	71	1	0	0
384348	384	86	71	1	0	0
385114	385	86	71	1	0	0
385879	386	86	71	1	0	0
386644	387	86	71	1	0	0
387409	387	86	71	1	0	0
388175	388	86	71	1	0	0
388940	389	86	71	1	0	0
389706	390	86	71	1	0	0
390471	390	86	71	1	0	0
391236	391	86	71	1	0	0
392002	392	86	71	1	0	0
392767	393	86	71	1	0	0
393533	394	86	71	1	0	0
394298	394	86	71	1	0	0
395064	395	86	71	1	0	0
395829	396	86	71	1	0	0
396595	397	86	71	1	0	0
397360	397	86	71	1	0	0
398126	398	86	71	1	0	0
398891	399	86	71	1	0	0
399656	400	86	71	1	0	0
400421	400	86	71	1	0	0
401187	401	86	71	1	0	0
401952	402	86	71	1	0	0
402718	403	86	71	1	0	0
403483	403	86	71	1	0	0
404249	404	86	71	1	0	0
405014	405	86	71	1	0	0
405780	406	86	71	1	0	0
406545	407	86	71	1	0	0
407311	407	86	71	1	0	0
408076	408	86	71	1	0	0
408842	409	86	71	1	0	0
409607	410	86	71	1	0	0
410373	410	86	71	1	0	0
411138	411	86	71	1	0	0
411904	412	86	71	1	0	0
412668	413	86	71	1	0	0
413434	413	86	71	1	0	0
414199	414	86	71	1	0	0
414964	415	86	71	1	0	0
415730	416	86	71	1	0	0
416495	416	86	71	1	0	0
417261	417	86	71	1	0	0
418026	418	86	71	1	0	0
418792	419	86	71	1	0	0
419557	420	86	71	1	0	0
420323	420	86	71	1	0	0
421088	421	86	71	1	0	0
421854	422	86	71	1	0	0
422619	423	86	71	1	0	0
423385	423	86	71	1	0	0
424150	424	86	71	1	0	0
424915	425	86	71	1	0	0
425680	426	86	71	1	0	0
426446	426	86	71	1	0	0
427211	427	86	71	1	0	0
427977	428	86	71	1	0	0
428742	429	86	71	1	0	0
429508	430	86	71	1	0	0
430273	430	86	71	1	0	0
431039	431	86	71	1	0	0
431804	432	86	71	1	0	0
432570	433	86	71	1	0	0
433335	433	86	71	1	0	0
434101	434	86	71	1	0	0
434866	435	86	71	1	0	0
435632	436	86	71	1	0	0
436397	436	86	71	1	0	0
437161	437	86	71	1	0	0
437927	438	86	71	1	0	0
438692	439	86	71	1	0	0
439458	439	86	71	1	0	0
440223	440	86	71	1	0	0
440989	441	86	71	1	0	0
441754	442	86	71	1	0	0
442520	443	86	71	1	0	0
443285	443	86	71	1	0	0
444051	444	86	71	1	0	0
444816	445	86	71	1	0	1
445582	446	86	71	1	0	1
446347	446	86	71	1	0	1
447113	447	86	71	1	0	1
447878	448	86	71	1	0	1
448644	449	86	71	1	0	1
449409	449	86	71	1	0	1
450174	450	86	71	1	0	1
450939	451	86	71	1	0	1
451705	452	86	72	1	0	1
452470	452	86	72	1	0	1
453236	453	86	72	1	0	1
454001	454	86	72	1	0	1
454767	455	86	72	1	0	1
